establecimiento_canon,direccion_norm,municipio,departamento,codigo,distrito,sector,area,supervisor,director,telefono_norm,modalidad,jornada,plan,departamental
privado  santa marina,16 ave. 7-24 z 3,quetzaltenango,Quetzaltenango,['09-01-0893-46'],09-041,privado,urbana,wilson ranferi siguenza lopez,magda judith cifuentes robles,['77636045'],['monolingue'],['vespertina'],['diario(regular)'],quetzaltenango
privado america digital,lote no. 64  urbano caballo blanco,retalhuleu,Retalhuleu,"[""['11-01-0540-46', '11-01-0542-46']""]","['11-004', '11-017']","['privado', 'privado']","['urbana', 'urbana']","['miguel angel armas rocha', 'miguel angel armas rocha']","['marlon ivan perez paz', 'marlon ivan perez paz']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'sin jornada']""]","[""['diario(regular)', 'semipresencial (fin de semana)']""]",retalhuleu
privado avances,16 av 3-55 z 1 ciudad de quetzaltenango,quetzaltenango,Quetzaltenango,['09-01-0262-46'],09-041,privado,urbana,wilson ranferi siguenza lopez,clelia isabel de león maldonado,['77651976'],['monolingue'],['vespertina'],['diario(regular)'],quetzaltenango
privado belen del milagro,seccion pp lote 33 colonia el milagro z 6 mixco,mixco,Guatemala,['01-08-1002-46'],01-615,privado,urbana,liliana marina flores jimenez,karla fermina cardenas bach,['24364543'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
privado bellas artes,11 calle 9-79 z 1 quetzaltenango,quetzaltenango,Quetzaltenango,['09-01-0334-46'],09-006,privado,urbana,pedro gerónimo sarat chaj,francisco román bethancourt maldonado,['77683473'],['monolingue'],['matutina'],['diario(regular)'],quetzaltenango
privado bilingue sagrado corazon de jesus,8a. calle entre 9a. y 10a. av de la z 2 barrio la laguna zacapa,zacapa,Zacapa,['19-01-0204-46'],19-019,privado,urbana,hugo wilfredo vargas chacon,marta lylí rivas tobar,['31181139'],['monolingue'],['matutina'],['diario(regular)'],zacapa
privado coaltepec,13 calle 9-20 z 2 residenciales valle verde,coatepeque,Quetzaltenango,"[""['09-20-0129-46', '09-20-0154-46']""]","['09-032', '09-032']","['privado', 'privado']","['urbana', 'urbana']","['amanda carolina lopez merida', 'amanda carolina lopez merida']","['marco antonio gramajo quiroa', 'marco antonio gramajo quiroa']",[],"[""['monolingue', 'monolingue']""]","[""['sin jornada', 'matutina']""]","[""['semipresencial (un día a la semana)', 'diario(regular)']""]",quetzaltenango
privado cultural informatico y cientifico ipcic,3a. calle 2-23 z 2 colonia el ferrocarrilero,escuintla,Escuintla,['05-01-0344-46'],05-033,privado,urbana,remy arturo sinay gudiel,edna tomasita herincx ruiz,['41862567'],['monolingue'],['matutina'],['diario(regular)'],escuintla
privado de bachillerato por madurez emmanuel,ruta nacional 1-23 z 1,ipala,Chiquimula,"[""['20-11-0009-46', '20-11-0053-46']""]","['20-018', '20-018']","['privado', 'privado']","['urbana', 'urbana']","['nilda maritza arroyo rodriguez', 'nilda maritza arroyo rodriguez']","['celma yolanda morales salguero', 'celma yolanda morales salguero']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'sin jornada']""]","[""['fin de semana', 'semipresencial (un día a la semana)']""]",chiquimula
privado de ciencia y tecnologia quetzaltenango,3ra. calle 20-21 z 3,quetzaltenango,Quetzaltenango,['09-01-0301-46'],09-002,privado,urbana,rosemery guadalupe piedrasanta gramajo de siguenza,arnoldo de jesus del aguila alonzo,['77615924'],['monolingue'],['matutina'],['diario(regular)'],quetzaltenango
privado de ciencias comericales,5a. av 7-112 z 1,huehuetenango,Huehuetenango,['13-01-0341-46'],13-004,privado,urbana,clara armida morales castillo,marlin maribel hernández castillo,['77640126'],['monolingue'],['doble'],['fin de semana'],huehuetenango
privado de ciencias comericales,5ta. av. 7-112 z 1,huehuetenango,Huehuetenango,['13-01-1500-46'],13-004,privado,urbana,clara armida morales castillo,marlin maribel hernández castillo,['77640126'],['monolingue'],['matutina'],['diario(regular)'],huehuetenango
privado de ciencias comericales,cabecera municipal,huehuetenango,Huehuetenango,['13-01-0391-46'],13-004,privado,urbana,clara armida morales castillo,marlin maribel hernández castillo,['77640126'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],huehuetenango
privado de ciencias secretariales,2a. calle 3-16 z 1,santo tomas chichicastenango,Quiche,['14-06-3740-46'],14-007,privado,urbana,carlos manuel tiriquiz tol,oscar arnoldo girón soto,['51156813'],['monolingue'],['intermedia'],['diario(regular)'],quiché
privado de computacion informatica,6a. av y 1a. calle no. 126 z 5,chimaltenango,Chimaltenango,"['04-01-0343-46', ""['04-01-2895-46', '04-01-2897-46', '04-01-2900-46', '04-01-2901-46']""]",04-020,privado,urbana,marilena hernández cabrera,verónica esmeralda mutzutz elel,['41374514'],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']"", 'monolingue']","[""['matutina', 'vespertina', 'doble', 'doble']"", 'sin jornada']","[""['diario(regular)', 'diario(regular)', 'fin de semana', 'fin de semana']"", 'semipresencial (dos días a la semana)']",chimaltenango
privado de desarrollo integral tt,2da. av b 2-40 z 4,la esperanza,Quetzaltenango,['09-23-0050-46'],09-020,privado,urbana,jorge mario rojas fernandez,virginia odette cano sosa,['57948355'],['monolingue'],['matutina'],['diario(regular)'],quetzaltenango
privado de educacion  b0koba,colonia modelo,flores,Peten,['17-01-0172-46'],17-001,privado,urbana,rodolfo medina,mynor roberto portillo rosado,[],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],petén
privado de educacion basica y diversificada buenos aires,aldea san antonio seja,livingston,Izabal,['18-02-3077-46'],18-017,privado,rural,leyvimarlot enriquez espinosa,wendy aracely colindres gutierrez,['45899054'],['monolingue'],['vespertina'],['diario(regular)'],izabal
privado de educacion basica y diversificada juan diego,2a. av 5-84 z 1 comitancillo,comitancillo,San Marcos,['12-04-0211-46'],12-058,privado,urbana,rosalinda vitalina jimenez perez,juana florinda pérez coronado,['49196605'],['bilingue'],['vespertina'],['diario(regular)'],san marcos
privado de educacion basica y diversificada juan diego,2da. ave. 5-84 z 1 comitancillo,comitancillo,San Marcos,['12-04-0116-46'],12-058,privado,urbana,rosalinda vitalina jimenez perez,juana florinda pérez coronado,['58077999'],['bilingue'],['doble'],['diario(regular)'],san marcos
privado de educacion de ciencias y tecnologia la sagrada familia,barrio san pablo,san pedro pinula,Jalapa,"[""['21-02-0079-46', '21-02-0085-46', '21-02-0094-46']""]","['21-006', '21-006', '21-006']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['carlos antonio cordero trigueros', 'carlos antonio cordero trigueros', 'carlos antonio cordero trigueros']","['elmer abel sandoval muñoz', 'elmer abel sandoval muñoz', 'elmer abel sandoval muñoz']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'semipresencial (un día a la semana)']""]",jalapa
privado de educacion diversificada el porvenir,4a. av 2-66 z 2 barrio san francisco,jalapa,Jalapa,['21-01-0108-46'],21-004,privado,urbana,victor manuel portillo recinos,rosa coralia pineda gallardo,[],['monolingue'],['vespertina'],['diario(regular)'],jalapa
privado de educacion mixta ciencia y tecnologia,barrio camelias,san carlos alzatate,Jalapa,"[""['21-05-0027-46', '21-05-0037-46', '21-05-0054-46']""]","['21-009', '21-009', '21-009']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['amarilis nohemi mendez mateo', 'amarilis nohemi mendez mateo', 'amarilis nohemi mendez mateo']","['emora esperanza solis hernandez', 'emora esperanza solis hernandez', 'emora esperanza solis hernandez']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'semipresencial (un día a la semana)']""]",jalapa
privado de estudios avanzados ipea,aldea recuerdo a barrios,san carlos sija,Quetzaltenango,['09-04-4107-46'],09-043,privado,rural,blanca lidia de leon diaz,ovidio santiago santos de leon,['45269294'],['monolingue'],['vespertina'],['diario(regular)'],quetzaltenango
privado de estudios superacion,cabecera municipal,malacatan,San Marcos,['12-15-0190-46'],12-133,privado,urbana,rolando rene fuentes miranda,fredy waldemar bautista fuentes,['57487516'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],san marcos
privado del sur,km. 165 cinta asfaltica,san gabriel,Suchitepequez,['10-12-0016-46'],10-004,privado,urbana,haroldo gamaliel hidalgo sandoval,luis alfonso lópez lópez,['34308262'],['monolingue'],['vespertina'],['diario(regular)'],suchitepéquez
privado dios con nosotros,14a. av 27-25 residenciales fuentes del valle i z 7,san miguel petapa,Guatemala,['01-17-0254-46'],01-220,privado,urbana,grelder arceli aguilar avila,thelma patricia lopez santizo,['66354329'],['monolingue'],['vespertina'],['diario(regular)'],guatemala sur
privado dios con nosotros,22a. calle lote 57 58 y 59 manzana r sector 11 villa hermosa i z 7,san miguel petapa,Guatemala,['01-17-0366-46'],01-220,privado,urbana,grelder arceli aguilar avila,lilian carolina valle salazar,['47153049'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
privado dr jorge romero imery,barrio el rosario,santa lucia utatlan,Solola,"[""['07-04-0008-46', '07-04-3030-46']""]","['07-006', '07-006']","['privado', 'privado']","['urbana', 'urbana']","['lester francisco puac cochoy', 'lester francisco puac cochoy']","['marcos josué aquino noriega', 'marcos josué aquino noriega']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'vespertina']""]","[""['diario(regular)', 'diario(regular)']""]",sololá
privado el olam,barrio el cementerio,jocotan,Chiquimula,['20-04-0136-46'],20-004,privado,urbana,sergio estuardo medina gudiel,lindayk gicelena castellón nufio,['79465453'],['monolingue'],['vespertina'],['diario(regular)'],chiquimula
privado el valle,lotificacion nuevo san martin barrio san gaspar,san martin jilotepeque,Chimaltenango,"[""['04-03-0103-46', '04-03-0104-46', '04-03-0218-46', '04-03-0229-46', '04-03-0243-46']""]","['04-033', '04-033', '04-033', '04-033', '04-033']","['privado', 'privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana', 'urbana']","['josé miguel lópez ortiz', 'josé miguel lópez ortiz', 'josé miguel lópez ortiz', 'josé miguel lópez ortiz', 'josé miguel lópez ortiz']","['norma xiomara tuy ruiz', 'olga marina ruano gámez', 'olga marina ruano gámez', 'olga marina ruano gámez', 'olga marina ruano gámez']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['doble', 'vespertina', 'doble', 'doble', 'sin jornada']""]","[""['diario(regular)', 'diario(regular)', 'fin de semana', 'fin de semana', 'semipresencial (dos días a la semana)']""]",chimaltenango
privado enrique novella alvarado,caserio las trojes aldea cruz blanca,san juan sacatepequez,Guatemala,['01-10-0327-46'],01-611,privado,rural,jennifer michel rivera aguilar,alida emelina lorenzana valle,['66435600'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
privado enrique novella alvarado,finca san miguel rio abajo aldea el sinaca,sanarate,El Progreso,['02-07-0823-46'],02-018,privado,rural,osmar josue gonzalez hernandez,rodolfo gerardo fonseca sarmiento,['58343695'],['monolingue'],['doble'],['diario(regular)'],el progreso
privado evangelico bethel,6a. av a 4-44 z 2,san pedro la laguna,Solola,"[""['07-18-0026-46', '07-18-0027-46']""]","['07-013', '07-013']","['privado', 'privado']","['urbana', 'urbana']","['manuel eduardo cholotio coche', 'manuel eduardo cholotio coche']","['esdras samuel mejia quejú', 'esdras samuel mejia quejú']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'doble']""]","[""['diario(regular)', 'diario(regular)']""]",sololá
privado fuente del saber,barrio tikajal,san luis,Peten,"[""['17-09-0329-46', '17-09-0331-46']""]","['17-016', '17-016']","['privado', 'privado']","['urbana', 'urbana']","['octavio lone guerra', 'octavio lone guerra']","['rosa melitza mozcoso vela', 'rosa melitza mozcoso vela']",[],"[""['monolingue', 'monolingue']""]","[""['sin jornada', 'doble']""]","[""['semipresencial (un día a la semana)', 'fin de semana']""]",petén
privado fuente del saber,cabecera municipal,san luis,Peten,"[""['17-09-0005-46', '17-09-4156-46']""]","['17-016', '17-016']","['privado', 'privado']","['urbana', 'urbana']","['octavio lone guerra', 'octavio lone guerra']","['rosa melitza mozcoso vela', 'rosa melitza mozcoso vela']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'vespertina']""]","[""['fin de semana', 'diario(regular)']""]",petén
privado guatemala de la asuncion,3av. 5-34 z 1,villa nueva,Guatemala,['01-15-2076-46'],01-214,privado,urbana,hector raul escun vides,maria antonieta escobar paz,['42346456'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
privado innovador tecnologico guatemalteco,z 0 barrio el,atescatempa,Jutiapa,['22-07-0033-46'],22-020,privado,urbana,marcelina martinez guevara de hernandez,ana ruth valle salazar,['30394472'],['monolingue'],['vespertina'],['virtual a distancia'],jutiapa
privado la amistad,9a. calle 6-50 z 2 barrio el calvario,san martin jilotepeque,Chimaltenango,['04-03-0227-46'],04-033,privado,urbana,josé miguel lópez ortiz,edwin yovany velazco camey,['78448850'],['monolingue'],['vespertina'],['diario(regular)'],chimaltenango
privado lic david vela,kilometro 200 ruta al atlantico,los amates,Izabal,"[""['18-05-0133-46', '18-05-0134-46']""]","['18-037', '18-037']","['privado', 'privado']","['urbana', 'urbana']","['mirna judith aquino rivera de elias', 'mirna judith aquino rivera de elias']","['hector enrique zuñiga orellana', 'hector enrique zuñiga orellana']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'doble']""]","[""['fin de semana', 'fin de semana']""]",izabal
privado lic david vela,km 200 al atlantico,los amates,Izabal,['18-05-0111-46'],18-037,privado,urbana,mirna judith aquino rivera de elias,héctor enrique zúñiga orellana,['79473116'],['monolingue'],['vespertina'],['diario(regular)'],izabal
privado los proceres,primera av 9-40 z 4 barrio santiago,san cristobal totonicapan,Totonicapan,['08-02-0152-46'],08-007,privado,urbana,yesenia carolina tacam morales,juana rosario can saquic,['57527531'],['monolingue'],['vespertina'],['diario(regular)'],totonicapán
privado miguel angel sarazua roca,14 calle 1-38 colonia nuevo san martin z 1 barrio san gaspar,san martin jilotepeque,Chimaltenango,['04-03-0246-46'],04-033,privado,urbana,josé miguel lópez ortiz,sara luz sarazúa luch,['48360058'],['monolingue'],['vespertina'],['diario(regular)'],chimaltenango
privado miguel angel sarazua roca,14a. calle 1a-38 colonia nuevo san martin z 1 barrio san gaspar,san martin jilotepeque,Chimaltenango,['04-03-0264-46'],04-033,privado,urbana,josé miguel lópez ortiz,sara luz sarazúa luch,['33677945'],['monolingue'],['doble'],['fin de semana'],chimaltenango
privado mixto  ciencia y progreso,cabecera municipal,colotenango,Huehuetenango,['13-19-0051-46'],13-034,privado,urbana,artemio noe morales villatoro,andy ronaldo villatoro molina,['32320257'],['monolingue'],['vespertina'],['diario(regular)'],huehuetenango
privado mixto  cuyoteco,2a. av 2-27 z 1,cuyotenango,Suchitepequez,"[""['10-02-0073-46', '10-02-2258-46', '10-02-2602-46']""]","['10-003', '10-003', '10-003']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['erwin rigoberto avila', 'erwin rigoberto avila', 'erwin rigoberto avila']","['sergio amílcar díaz aguilar', 'sergio amílcar díaz aguilar', 'sergio amílcar díaz aguilar']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['sin jornada', 'doble', 'vespertina']""]","[""['semipresencial (un día a la semana)', 'fin de semana', 'diario(regular)']""]",suchitepéquez
privado mixto  cuyoteco,2a.av. 2-27 z 1,cuyotenango,Suchitepequez,['10-02-2555-46'],10-003,privado,urbana,erwin rigoberto avila,sergio amílcar díaz aguilar,['78684337'],['monolingue'],['doble'],['fin de semana'],suchitepéquez
privado mixto  davinciano,rurales 1 calle final canton san benito,mazatenango,Suchitepequez,"[""['10-01-0350-46', '10-01-0351-46', '10-01-0390-46']""]","['10-019', '10-019', '10-019']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['reyna del rosario chavez barrow de pacheco', 'reyna del rosario chavez barrow de pacheco', 'reyna del rosario chavez barrow de pacheco']","['soraya beatriz lòpez coronado', 'soraya beatriz lòpez coronado', 'soraya beatriz lòpez coronado']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['matutina', 'doble', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'semipresencial (un día a la semana)']""]",suchitepéquez
privado mixto  de estudios avanzados nuevo horizonte,calle principal,san jose la maquina,Suchitepequez,"['10-21-0095-46', ""['10-21-0081-46', '10-21-0082-46', '10-21-0083-46']""]",10-028,privado,urbana,luigi petronilo cermeño varaona,silvia edelmira cano cozar,['54867663'],"[""['monolingue', 'monolingue', 'monolingue']"", 'monolingue']","[""['matutina', 'vespertina', 'doble']"", 'sin jornada']","[""['diario(regular)', 'diario(regular)', 'fin de semana']"", 'semipresencial (un día a la semana)']",suchitepéquez
privado mixto  florense,barrio san jose,genova costa cuca,Quetzaltenango,['09-21-3708-46'],09-042,privado,urbana,elsy grees lopez gomez,tito artemas de león lópez,['41505143'],['monolingue'],['vespertina'],['diario(regular)'],quetzaltenango
privado mixto  jacaltenango,canton san sebastian,jacaltenango,Huehuetenango,"[""['13-07-0055-46', '13-07-0056-46', '13-07-0064-46', '13-07-6385-46']""]","['13-051', '13-051', '13-051', '13-051']","['privado', 'privado', 'privado', 'privado']","['urbana', 'rural', 'urbana', 'urbana']","['cesar godínez girón', 'cesar godínez girón', 'cesar godínez girón', 'cesar godínez girón']","['josé fidencio delgado hernández', 'josé fidencio delgado hernández', 'maría salomé ros sánchez', 'josé fidencio delgado hernández']",[],"[""['bilingue', 'monolingue', 'monolingue', 'bilingue']""]","[""['vespertina', 'doble', 'doble', 'matutina']""]","[""['diario(regular)', 'diario(regular)', 'fin de semana', 'diario(regular)']""]",huehuetenango
privado mixto  lorenzano,frente a la iglesia catolica,san lorenzo,Suchitepequez,['10-07-2509-46'],10-004,privado,urbana,haroldo gamaliel hidalgo sandoval,haroldo gamaliel hidalgo sandoval,[],['monolingue'],['doble'],['fin de semana'],suchitepéquez
privado mixto  lorenzano,san lorenzo,san lorenzo,Suchitepequez,['10-07-0009-46'],10-004,privado,urbana,haroldo gamaliel hidalgo sandoval,haroldo gamaliel hidalgo sandoval,['52478870'],['monolingue'],['doble'],['fin de semana'],suchitepéquez
privado mixto  mazateco,3a. calle no. 214 z 2 barrio la union,mazatenango,Suchitepequez,"[""['10-01-0209-46', '10-01-0210-46']""]","['10-018', '10-018']","['privado', 'privado']","['urbana', 'urbana']","['natali xiomara diaz barrios de figueroa', 'natali xiomara diaz barrios de figueroa']","['otto eric neftalí martinez obregon', 'otto eric neftalí martinez obregon']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'doble']""]","[""['fin de semana', 'fin de semana']""]",suchitepéquez
privado mixto  mazateco,6a. av 2-21 z 1,mazatenango,Suchitepequez,"[""['10-01-0078-46', '10-01-0180-46', '10-01-0302-46', '10-01-0306-46', '10-01-0386-46', '10-01-1956-46']""]","['10-019', '10-019', '10-019', '10-019', '10-019', '10-019']","['privado', 'privado', 'privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana', 'urbana', 'urbana']","['reyna del rosario chavez barrow de pacheco', 'reyna del rosario chavez barrow de pacheco', 'reyna del rosario chavez barrow de pacheco', 'reyna del rosario chavez barrow de pacheco', 'reyna del rosario chavez barrow de pacheco', 'reyna del rosario chavez barrow de pacheco']","['alba patricia cifuentes diaz', 'alba patricia cifuentes diaz', 'alba patricia cifuentes diaz', 'sandry ziomara mancio méndez', 'sandry ziomara mancio méndez', 'alba patricia cifuentes diaz']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'vespertina', 'doble', 'sin jornada', 'matutina']""]","[""['diario(regular)', 'diario(regular)', 'diario(regular)', 'fin de semana', 'semipresencial (un día a la semana)', 'diario(regular)']""]",suchitepéquez
privado mixto  moderno,7a ave. 6-45 z 1,quetzaltenango,Quetzaltenango,['09-01-0135-46'],09-036,privado,urbana,obdulio rolando ruiz alva,sin_director,['77614475'],['monolingue'],['vespertina'],['diario(regular)'],quetzaltenango
privado mixto  moderno,7a. av 6-45 z 1,quetzaltenango,Quetzaltenango,"[""['09-01-0499-46', '09-01-3615-46', '09-01-3956-46']""]","['09-002', '09-002', '09-002']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['rosemery guadalupe piedrasanta gramajo de siguenza', 'rosemery guadalupe piedrasanta gramajo de siguenza', 'rosemery guadalupe piedrasanta gramajo de siguenza']","['marco tulio juárez méndez', 'marco tulio juárez méndez', 'marco tulio juárez méndez']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['sin jornada', 'matutina', 'doble']""]","[""['semipresencial (fin de semana)', 'diario(regular)', 'fin de semana']""]",quetzaltenango
privado mixto  nuevo horizonte,2da av y segunda calle z 3 barrio santa catarina,momostenango,Totonicapan,['08-05-0151-46'],08-015,privado,urbana,pablo malaquias baten xiloj,nora guadalupe xiloj ixcayau,['31503476'],['monolingue'],['vespertina'],['diario(regular)'],totonicapán
privado mixto  san antonio,2a ave. entre 1a y 2a calles,san antonio suchitepequez,Suchitepequez,['10-10-0265-46'],10-026,privado,urbana,maynor rene saquic espinoza,olinda ninet rodriguez recinos,['78704745'],['monolingue'],['nocturna'],['diario(regular)'],suchitepéquez
privado mixto  san antonio,3a. calle 4a. av z 1,san antonio suchitepequez,Suchitepequez,['10-10-0093-46'],10-026,privado,urbana,maynor rene saquic espinoza,natkin anibal reyes vielman,['78704779'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],suchitepéquez
privado mixto  san antonio,3a. calle y 4a. av. z 1,san antonio suchitepequez,Suchitepequez,"[""['10-10-0037-46', '10-10-0038-46']""]","['10-026', '10-026']","['privado', 'privado']","['urbana', 'urbana']","['maynor rene saquic espinoza', 'maynor rene saquic espinoza']","['natkin anibal reyes vielman', 'natkin anibal reyes vielman']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'doble']""]","[""['diario(regular)', 'fin de semana']""]",suchitepéquez
privado mixto  san luis,20 av 1-16 z 1,quetzaltenango,Quetzaltenango,"[""['09-01-0218-46', '09-01-0421-46', '09-01-0527-46']""]","['09-006', '09-006', '09-006']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['pedro gerónimo sarat chaj', 'pedro gerónimo sarat chaj', 'pedro gerónimo sarat chaj']","['heidy dolores chaj alvarez', 'heidy dolores chaj alvarez', 'heidy dolores chaj alvarez']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'semipresencial (fin de semana)']""]",quetzaltenango
privado mixto  san luis,calle c 0-30 z 1,quetzaltenango,Quetzaltenango,['09-01-0871-46'],09-006,privado,urbana,pedro gerónimo sarat chaj,mayra isabel chinchilla monterroso,['77612031'],['monolingue'],['matutina'],['diario(regular)'],quetzaltenango
privado mixto  santa maria,16 av 8-52 a z 1,quetzaltenango,Quetzaltenango,"[""['09-01-3335-46', '09-01-3336-46']""]","['09-002', '09-002']","['privado', 'privado']","['urbana', 'urbana']","['rosemery guadalupe piedrasanta gramajo de siguenza', 'rosemery guadalupe piedrasanta gramajo de siguenza']","['mario rene barrios tello', 'mario rene barrios tello']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'doble']""]","[""['diario(regular)', 'fin de semana']""]",quetzaltenango
privado mixto  santa maria,16 av. 8-52 a z 1,quetzaltenango,Quetzaltenango,['09-01-3661-46'],09-002,privado,urbana,rosemery guadalupe piedrasanta gramajo de siguenza,mario rene barrios tello,['77655654'],['monolingue'],['vespertina'],['diario(regular)'],quetzaltenango
privado mixto  santa maria,24 av 1-96 z 1,quetzaltenango,Quetzaltenango,['09-01-0523-46'],09-002,privado,urbana,rosemery guadalupe piedrasanta gramajo de siguenza,mario rene barrios tello,['77655654'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],quetzaltenango
privado mixto 12 de octubre,10a. av 15-71 colonia reformita,zona 12,Guatemala,['00-12-0077-46'],01-211,privado,urbana,adriana fabiola bolaños estrada,hugo valdemar cifuentes salguero,['24730788'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
privado mixto acej del valle,caserio tuicampana,san miguel ixtahuacan,San Marcos,['12-05-0088-46'],12-115,privado,rural,simeon jacobo perez domingo,juan eluvio gómez mejía,['45740321'],['bilingue'],['vespertina'],['diario(regular)'],san marcos
privado mixto americano,2a. calle prolongacion,san antonio suchitepequez,Suchitepequez,"[""['10-10-0046-46', '10-10-0098-46']""]","['10-026', '10-026']","['privado', 'privado']","['urbana', 'urbana']","['maynor rene saquic espinoza', 'maynor rene saquic espinoza']","['carlos augusto ochoa lópez', 'carlos augusto ochoa lópez']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'sin jornada']""]","[""['fin de semana', 'semipresencial (un día a la semana)']""]",suchitepéquez
privado mixto americano,2da. calle prolongacion,san antonio suchitepequez,Suchitepequez,"[""['10-10-0001-46', '10-10-0056-46']""]","['10-026', '10-026']","['privado', 'privado']","['urbana', 'urbana']","['maynor rene saquic espinoza', 'maynor rene saquic espinoza']","['carlos augusto ochoa lópez', 'carlos augusto ochoa lópez']",[],"[""['monolingue', 'monolingue']""]","[""['vespertina', 'matutina']""]","[""['diario(regular)', 'diario(regular)']""]",suchitepéquez
privado mixto americano,3a av 1-40 z 3,huehuetenango,Huehuetenango,['13-01-0409-46'],13-004,privado,urbana,clara armida morales castillo,william florencio ramirez recinos,['77642424'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],huehuetenango
privado mixto americano,3a. av 1-140 z 3,huehuetenango,Huehuetenango,"[""['13-01-0289-46', '13-01-0340-46', '13-01-1592-46', '13-01-7142-46']""]","['13-004', '13-004', '13-004', '13-004']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['clara armida morales castillo', 'clara armida morales castillo', 'clara armida morales castillo', 'clara armida morales castillo']","['jaime luis lópez mendóza', 'jaime luis lópez mendóza', 'jaime luis lópez mendóza', 'william florencio ramirez recinos']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['matutina', 'doble', 'matutina', 'doble']""]","[""['diario(regular)', 'diario(regular)', 'diario(regular)', 'fin de semana']""]",huehuetenango
privado mixto americano,3av. 1-140 z 3,huehuetenango,Huehuetenango,['13-01-1584-46'],13-004,privado,urbana,clara armida morales castillo,jaime luis lópez mendóza,['77642424'],['monolingue'],['vespertina'],['diario(regular)'],huehuetenango
privado mixto belen,6a. av 0-79 colonia la florida z 19 guatemala,zona 19,Guatemala,"[""['00-19-0098-46', '00-19-8378-46', '00-19-9315-46', '00-19-9317-46']""]","['01-620', '01-620', '01-620', '01-620']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['ronald mauricio morales vivar', 'ronald mauricio morales vivar', 'ronald mauricio morales vivar', 'ronald mauricio morales vivar']","['joaquin antonio mancilla rivera', 'joaquin antonio mancilla rivera', 'joaquin antonio mancilla rivera', 'joaquin antonio mancilla rivera']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['sin jornada', 'matutina', 'doble', 'doble']""]","[""['semipresencial (fin de semana)', 'diario(regular)', 'fin de semana', 'diario(regular)']""]",guatemala occidente
privado mixto bendicion,4 calle a 13-25 z 1,chiquimula,Chiquimula,['20-01-0309-46'],20-024,privado,urbana,silvia marilena buezo martinez,axel yovany villela monroy,['41007884'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],chiquimula
